id,text
0,"Cuadrilla files to delay application to frack in Lancashire"
1,"Royal Mail chairman Donald Brydon set to step down"
2,"UPDATE 2-EasyJet sees better first half on lower fuel bill"
3,"Slump in Weir leads FTSE down from record high"
4,"AstraZeneca wins FDA approval for key new lung cancer pill"
5,"Sainsbury chief warns of squeeze on high street retailers"
6,"UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan"
7,"Primark plots expansion in US and Europe"
8,"Standard Chartered Shifts Emerging-Markets Strategy After Losses"
9,"Barclays fined for anti-money-laundering failings"
10,"UPDATE 3-Barclays fined for lax crime checks in 'deal of century'"
11,"Easyjet targets business travellers with new perks"
